fips,NAME,NAMELSAD,peak_demand_mw
01003,Baldwin,Baldwin County,836.4657097439966
01069,Houston,Houston County,357.91619659324783
01005,Barbour,Barbour County,81.10486322349962
01119,Sumter,Sumter County,38.70001603817563
05091,Miller,Miller County,148.02347779680346
05133,Sevier,Sevier County,54.5673329368117
05093,Mississippi,Mississippi County,119.84875691761793
06037,Los Angeles,Los Angeles County,15385.2495096611
06087,Santa Cruz,Santa Cruz County,346.187950754159
06097,Sonoma,Sonoma County,668.4163446622184
06013,Contra Costa,Contra Costa County,1914.253244588261
06003,Alpine,Alpine County,1.9939892699742932
08067,La Plata,La Plata County,99.41423758590896
08113,San Miguel,San Miguel County,15.302370261578293
10001,Kent,Kent County,467.908047335402
12123,Taylor,Taylor County,53.550201906179254
12017,Citrus,Citrus County,430.9624018728831
12071,Lee,Lee County,1864.820095223878
12101,Pasco,Pasco County,1589.5854809784478
12033,Escambia,Escambia County,935.8045639016802
12037,Franklin,Franklin County,33.095777341254845
12065,Jefferson,Jefferson County,37.88773833815248
13185,Lowndes,Lowndes County,374.8806708763353
13127,Glynn,Glynn County,297.41538466148234
13051,Chatham,Chatham County,991.9058157736839
13179,Liberty,Liberty County,200.48298396612375
13073,Columbia,Columbia County,423.47949134893247
13137,Habersham,Habersham County,125.00187970907754
16041,Franklin,Franklin County,39.825364469037915
16033,Clark,Clark County,1.8969552979579622
16079,Shoshone,Shoshone County,33.70532367396548
17031,Cook,Cook County,13263.426277477374
16073,Owyhee,Owyhee County,31.20155189791285
16035,Clearwater,Clearwater County,22.107096685860128
18123,Perry,Perry County,51.816837658701324
18075,Jay,Jay County,51.89839101818243
19045,Clinton,Clinton County,322.94957966609934
04009,Graham,Graham County,98.1475756343134
19195,Worth,Worth County,28.296641685240726
20199,Wallace,Wallace County,4.2487172641646005
01117,Shelby,Shelby County,768.5926337301264
01055,Etowah,Etowah County,340.93691487267307
01051,Elmore,Elmore County,298.4582812846262
01099,Monroe,Monroe County,206.38444202207012
21095,Harlan,Harlan County,81.56770234045369
22075,Plaquemines,Plaquemines Parish,109.35329483169986
22117,Washington,Washington Parish,264.0885731957332
22017,Caddo,Caddo Parish,962.0434049320809
01035,Conecuh,Conecuh County,36.871016481132955
01085,Lowndes,Lowndes County,32.05584300696284
23015,Lincoln,Lincoln County,51.9633560927064
23017,Oxford,Oxford County,162.19046243099683
24005,Baltimore,Baltimore County,1752.7348974461745
24025,Harford,Harford County,559.8358047031999
24041,Talbot,Talbot County,81.50068848090437
24015,Cecil,Cecil County,222.2586672768553
25009,Essex,Essex County,1376.8710848277767
25005,Bristol,Bristol County,1070.8228861827859
25021,Norfolk,Norfolk County,1300.6639126521723
26041,Delta,Delta County,144.95051987062755
26055,Grand Traverse,Grand Traverse County,180.87396646953243
26007,Alpena,Alpena County,100.7691250334679
26103,Marquette,Marquette County,125.07987936920621
26147,St. Clair,St. Clair County,300.1271738805199
26071,Iron,Iron County,21.897981318342186
27027,Clay,Clay County,124.29496656226031
27091,Martin,Martin County,44.84849789216042
28033,DeSoto,DeSoto County,623.1625630296804
28157,Wilkinson,Wilkinson County,25.943027181398392
29113,Lincoln,Lincoln County,162.76707194895093
30001,Beaverhead,Beaverhead County,22.562611637384503
30105,Valley,Valley County,15.897717198944292
31033,Cheyenne,Cheyenne County,26.049451648634246
31049,Deuel,Deuel County,6.215501158339751
34015,Gloucester,Gloucester County,695.5919080494243
36013,Chautauqua,Chautauqua County,159.3853295611926
36045,Jefferson,Jefferson County,163.75359198353658
36059,Nassau,Nassau County,2765.4452277560913
37133,Onslow,Onslow County,552.1325065362407
37009,Ashe,Ashe County,67.8091309443704
37169,Stokes,Stokes County,113.46610323701995
37053,Currituck,Currituck County,77.0627912780058
37173,Swain,Swain County,34.83520268100396
37131,Northampton,Northampton County,40.13900651993491
38035,Grand Forks,Grand Forks County,408.54220011897223
38067,Pembina,Pembina County,50.395004392145786
39123,Ottawa,Ottawa County,91.47232481446896
45051,Horry,Horry County,1163.4670527194198
40079,Le Flore,Le Flore County,180.81657925245875
40023,Choctaw,Choctaw County,53.429575093239286
40113,Osage,Osage County,167.24822739425363
41015,Curry,Curry County,59.24984577099302
41045,Malheur,Malheur County,82.90842837175393
41001,Baker,Baker County,43.739307016991226
42111,Somerset,Somerset County,138.1976192676544
42133,York,York County,1007.5160780594974
45003,Aiken,Aiken County,544.3897606111744
45091,York,York County,910.9594151687805
46127,Union,Union County,36.819133077820446
46009,Bon Homme,Bon Homme County,15.138635867905961
46089,McPherson,McPherson County,5.001201120595956
47065,Hamilton,Hamilton County,1066.7367864543
47059,Greene,Greene County,203.44692180130411
47091,Johnson,Johnson County,51.4885679260607
48355,Nueces,Nueces County,1243.4742686189736
48215,Hidalgo,Hidalgo County,2737.7457048063443
48061,Cameron,Cameron County,1295.8261175886007
48479,Webb,Webb County,876.3897136531627
48057,Calhoun,Calhoun County,1280.7545963336872
48323,Maverick,Maverick County,194.5834460051671
48465,Val Verde,Val Verde County,159.21669791502634
48039,Brazoria,Brazoria County,2918.9735108688133
48229,Hudspeth,Hudspeth County,8.407111234432522
48203,Harrison,Harrison County,543.1859760896215
48387,Red River,Red River County,39.60523494095538
48315,Marion,Marion County,33.99052949307678
49045,Tooele,Tooele County,183.64496740868591
49023,Juab,Juab County,27.973137970939312
51001,Accomack,Accomack County,118.06424737213227
51095,James City,James City County,238.41137672135727
51131,Northampton,Northampton County,41.39173460224397
51057,Essex,Essex County,33.43833842513541
51107,Loudoun,Loudoun County,1281.6831867770586
51083,Halifax,Halifax County,91.77141842134859
53067,Thurston,Thurston County,641.0972204777555
53029,Island,Island County,184.411579354881
54047,McDowell,McDowell County,54.58395414416469
54011,Cabell,Cabell County,288.38575257827216
54073,Pleasants,Pleasants County,24.22814306987843
54037,Jefferson,Jefferson County,195.00891384213713
54065,Morgan,Morgan County,57.58484720510528
17125,Mason,Mason County,27.630447230887015
54003,Berkeley,Berkeley County,431.89775724269373
17007,Boone,Boone County,138.00066691172708
55011,Buffalo,Buffalo County,27.802585579947774
55121,Trempealeau,Trempealeau County,63.998602521427294
55075,Marinette,Marinette County,93.78801125807283
56029,Park,Park County,145.93298148207472
56039,Teton,Teton County,123.84335896464157
06057,Nevada,Nevada County,182.67187070302785
05085,Lonoke,Lonoke County,235.41193292609955
05099,Nevada,Nevada County,25.191750921161898
05013,Calhoun,Calhoun County,14.57561508245854
06007,Butte,Butte County,303.2888406117368
06089,Shasta,Shasta County,276.57499289523327
06047,Merced,Merced County,419.16807958117585
06009,Calaveras,Calaveras County,75.22116270524995
06033,Lake,Lake County,103.43795639005613
06115,Yuba,Yuba County,109.56454471561341
08035,Douglas,Douglas County,729.959319982209
08019,Clear Creek,Clear Creek County,17.236814950222705
08049,Grand,Grand County,26.46393562314498
08029,Delta,Delta County,51.978598038664614
