fips,NAME,NAMELSAD,net_summer_gen_mw,n_op_generators,n_op_plants
01003,Baldwin,Baldwin County,0.0,0,0
01069,Houston,Houston County,1799.3,8,2
01005,Barbour,Barbour County,0.0,0,0
01119,Sumter,Sumter County,0.0,0,0
05091,Miller,Miller County,1.0,1,1
05133,Sevier,Sevier County,0.0,0,0
05093,Mississippi,Mississippi County,1484.0,7,5
06037,Los Angeles,Los Angeles County,12928.5,390,228
06087,Santa Cruz,Santa Cruz County,14.3,9,4
06097,Sonoma,Sonoma County,843.5,45,21
06013,Contra Costa,Contra Costa County,3841.1,61,32
06003,Alpine,Alpine County,0.0,0,0
08067,La Plata,La Plata County,18.2,7,4
08113,San Miguel,San Miguel County,2.8,1,1
10001,Kent,Kent County,582.6,18,10
12123,Taylor,Taylor County,5.1,1,1
12017,Citrus,Citrus County,3113.9,9,2
12071,Lee,Lee County,2790.5,16,2
12101,Pasco,Pasco County,1618.8,8,5
12033,Escambia,Escambia County,2308.7,20,8
12037,Franklin,Franklin County,0.0,0,0
12065,Jefferson,Jefferson County,0.0,0,0
13185,Lowndes,Lowndes County,134.8,13,8
13127,Glynn,Glynn County,506.2,14,3
13051,Chatham,Chatham County,246.20000000000002,18,5
13179,Liberty,Liberty County,44.5,2,2
13073,Columbia,Columbia County,15.4,10,3
13137,Habersham,Habersham County,52.0,4,1
16041,Franklin,Franklin County,29.900000000000002,4,2
16033,Clark,Clark County,4.800000000000001,2,2
16079,Shoshone,Shoshone County,0.0,0,0
17031,Cook,Cook County,1152.9,57,25
16073,Owyhee,Owyhee County,191.78,6,3
16035,Clearwater,Clearwater County,465.6,6,2
18123,Perry,Perry County,92.2,5,3
18075,Jay,Jay County,256.4,7,4
19045,Clinton,Clinton County,180.0,2,1
04009,Graham,Graham County,0.0,0,0
19195,Worth,Worth County,354.9,8,7
20199,Wallace,Wallace County,3.0,4,1
01117,Shelby,Shelby County,1868.0,6,1
01055,Etowah,Etowah County,0.0,0,0
01051,Elmore,Elmore County,579.4,13,4
01099,Monroe,Monroe County,112.2,2,2
21095,Harlan,Harlan County,0.0,0,0
22075,Plaquemines,Plaquemines Parish,22.2,5,1
22117,Washington,Washington Parish,557.3,7,4
22017,Caddo,Caddo Parish,829.0,6,3
01035,Conecuh,Conecuh County,0.0,0,0
01085,Lowndes,Lowndes County,166.5,6,2
23015,Lincoln,Lincoln County,12.5,3,3
23017,Oxford,Oxford County,553.1,24,17
24005,Baltimore,Baltimore County,35.3,22,19
24025,Harford,Harford County,963.1,32,18
24041,Talbot,Talbot County,68.4,18,3
24015,Cecil,Cecil County,1666.6,12,7
25009,Essex,Essex County,989.4,52,33
25005,Bristol,Bristol County,515.1,79,63
25021,Norfolk,Norfolk County,2020.03,48,32
26041,Delta,Delta County,220.1,8,6
26055,Grand Traverse,Grand Traverse County,0.0,0,0
26007,Alpena,Alpena County,54.4,14,4
26103,Marquette,Marquette County,193.3,17,6
26147,St. Clair,St. Clair County,3998.6,25,7
26071,Iron,Iron County,27.2,9,5
27027,Clay,Clay County,74.3,17,11
27091,Martin,Martin County,642.6,18,5
28033,DeSoto,DeSoto County,880.0,7,2
28157,Wilkinson,Wilkinson County,0.0,0,0
29113,Lincoln,Lincoln County,0.0,0,0
30001,Beaverhead,Beaverhead County,80.0,1,1
30105,Valley,Valley County,0.0,0,0
31033,Cheyenne,Cheyenne County,4.1,3,1
31049,Deuel,Deuel County,1.0,1,1
34015,Gloucester,Gloucester County,1095.0,26,17
36013,Chautauqua,Chautauqua County,449.2,24,17
36045,Jefferson,Jefferson County,229.5,66,30
36059,Nassau,Nassau County,1286.27,39,12
37133,Onslow,Onslow County,55.5,11,11
37009,Ashe,Ashe County,0.0,0,0
37169,Stokes,Stokes County,2283.9,6,5
37053,Currituck,Currituck County,262.4,5,5
37173,Swain,Swain County,304.20000000000005,3,1
37131,Northampton,Northampton County,582.8,21,18
38035,Grand Forks,Grand Forks County,0.0,0,0
38067,Pembina,Pembina County,6.0,1,1
39123,Ottawa,Ottawa County,900.0,4,2
45051,Horry,Horry County,134.9,11,5
40079,Le Flore,Le Flore County,395.0,5,2
40023,Choctaw,Choctaw County,440.0,1,1
40113,Osage,Osage County,158.9,6,3
41015,Curry,Curry County,0.0,0,0
41045,Malheur,Malheur County,94.7,17,14
41001,Baker,Baker County,281.64,12,9
42111,Somerset,Somerset County,429.7,15,13
42133,York,York County,5601.2,25,11
45003,Aiken,Aiken County,733.9,11,3
45091,York,York County,2375.2,8,4
46127,Union,Union County,0.0,0,0
46009,Bon Homme,Bon Homme County,80.0,1,1
46089,McPherson,McPherson County,0.0,0,0
47065,Hamilton,Hamilton County,2428.7999999999997,10,4
47059,Greene,Greene County,9.6,2,2
47091,Johnson,Johnson County,0.0,0,0
48355,Nueces,Nueces County,2717.7,34,13
48215,Hidalgo,Hidalgo County,2927.7,77,22
48061,Cameron,Cameron County,966.0,76,15
48479,Webb,Webb County,1383.4,20,11
48057,Calhoun,Calhoun County,1601.6,29,8
48323,Maverick,Maverick County,27.0,8,3
48465,Val Verde,Val Verde County,218.4,7,4
48039,Brazoria,Brazoria County,3570.5,69,32
48229,Hudspeth,Hudspeth County,0.0,0,0
48203,Harrison,Harrison County,936.6,7,3
48387,Red River,Red River County,0.0,0,0
48315,Marion,Marion County,883.0,3,1
49045,Tooele,Tooele County,178.7,5,4
49023,Juab,Juab County,604.0,4,2
51001,Accomack,Accomack County,403.71,14,4
51095,James City,James City County,39.9,2,2
51131,Northampton,Northampton County,20.0,1,1
51057,Essex,Essex County,20.0,1,1
51107,Loudoun,Loudoun County,766.0,3,1
51083,Halifax,Halifax County,1450.9,15,12
53067,Thurston,Thurston County,200.20000000000002,7,4
53029,Island,Island County,0.0,0,0
