fips,NAME,NAMELSAD,queue_mw_active,n_active_projects
01003,Baldwin,Baldwin County,660.0,6
01069,Houston,Houston County,280.0,3
01005,Barbour,Barbour County,0.0,0
01119,Sumter,Sumter County,0.0,0
05091,Miller,Miller County,0.0,0
05133,Sevier,Sevier County,0.0,0
05093,Mississippi,Mississippi County,7040.0,25
06037,Los Angeles,Los Angeles County,23808.4447731,60
06087,Santa Cruz,Santa Cruz County,353.699,2
06097,Sonoma,Sonoma County,488.34321,3
06013,Contra Costa,Contra Costa County,2918.518,10
06003,Alpine,Alpine County,0.0,0
08067,La Plata,La Plata County,155.0,1
08113,San Miguel,San Miguel County,0.0,0
10001,Kent,Kent County,115.0,6
12123,Taylor,Taylor County,74.5,1
12017,Citrus,Citrus County,140.0,5
12071,Lee,Lee County,0.0,0
12101,Pasco,Pasco County,1075.0,4
12033,Escambia,Escambia County,0.0,0
12037,Franklin,Franklin County,0.0,0
12065,Jefferson,Jefferson County,74.9,1
13185,Lowndes,Lowndes County,49.5,1
13127,Glynn,Glynn County,2800.0,7
13051,Chatham,Chatham County,0.0,0
13179,Liberty,Liberty County,386.0,4
13073,Columbia,Columbia County,0.0,0
13137,Habersham,Habersham County,0.0,0
16041,Franklin,Franklin County,500.40999999999997,3
16033,Clark,Clark County,200.0,1
16079,Shoshone,Shoshone County,0.0,0
17031,Cook,Cook County,394.0,6
16073,Owyhee,Owyhee County,1817.9,8
16035,Clearwater,Clearwater County,300.0,1
18123,Perry,Perry County,0.0,0
18075,Jay,Jay County,1003.84,15
19045,Clinton,Clinton County,1010.0,5
04009,Graham,Graham County,485.0,1
19195,Worth,Worth County,1175.0,7
20199,Wallace,Wallace County,0.0,0
01117,Shelby,Shelby County,806.2,2
01055,Etowah,Etowah County,0.0,0
01051,Elmore,Elmore County,0.0,0
01099,Monroe,Monroe County,80.0,1
21095,Harlan,Harlan County,0.0,0
22075,Plaquemines,Plaquemines Parish,0.0,0
22117,Washington,Washington Parish,1425.0,11
22017,Caddo,Caddo Parish,620.5,6
01035,Conecuh,Conecuh County,160.0,2
01085,Lowndes,Lowndes County,138.0,2
23015,Lincoln,Lincoln County,3.94000005722045,1
23017,Oxford,Oxford County,153.26599919795984,5
24005,Baltimore,Baltimore County,895.0,6
24025,Harford,Harford County,80.0,3
24041,Talbot,Talbot County,54.387,3
24015,Cecil,Cecil County,60.48,1
