fips,NAME,NAMELSAD,max_voltage_kv,has_any_line,frac_km_unknown_voltage,km_ge765,km_lt69_unknown,km_v115,km_v138,km_v230,km_v345,km_v500,km_v69
01003,Baldwin,Baldwin County,500.0,True,0.07186358099878197,0,59,500,0,225,0,37,0
01069,Houston,Houston County,500.0,True,0.2183288409703504,0,81,138,0,136,0,16,0
01005,Barbour,Barbour County,500.0,True,0.24516129032258063,0,76,194,0,21,0,19,0
01119,Sumter,Sumter County,230.0,True,0.4806201550387597,0,124,48,0,86,0,0,0
05091,Miller,Miller County,138.0,True,0.12568306010928962,0,23,0,59,0,0,0,101
05133,Sevier,Sevier County,138.0,True,0.0,0,0,0,52,0,0,0,71
05093,Mississippi,Mississippi County,500.0,True,0.05778894472361809,0,23,0,283,0,0,92,0
06037,Los Angeles,Los Angeles County,1000.0,True,0.37276190476190474,64,1957,22,467,1794,0,931,15
06087,Santa Cruz,Santa Cruz County,500.0,True,0.42857142857142855,0,75,84,0,11,0,5,0
06097,Sonoma,Sonoma County,230.0,True,0.39537444933920707,0,359,187,0,362,0,0,0
06013,Contra Costa,Contra Costa County,500.0,True,0.13296011196641008,0,190,441,9,672,0,86,31
06003,Alpine,Alpine County,120.0,True,1.0,0,2,0,0,0,0,0,0
08067,La Plata,La Plata County,345.0,True,0.043209876543209874,0,21,361,0,0,51,0,53
08113,San Miguel,San Miguel County,345.0,True,0.06635071090047394,0,14,120,0,40,37,0,0
10001,Kent,Kent County,230.0,True,0.011560693641618497,0,4,0,67,134,0,0,141
12123,Taylor,Taylor County,230.0,True,0.0,0,0,30,0,70,0,0,59
12017,Citrus,Citrus County,500.0,True,0.0,0,0,120,0,183,0,77,100
12071,Lee,Lee County,500.0,True,0.1275252525252525,0,101,0,284,375,0,32,0
12101,Pasco,Pasco County,500.0,True,0.14375,0,69,116,0,115,0,31,149
12033,Escambia,Escambia County,230.0,True,0.14465408805031446,0,69,239,0,169,0,0,0
12037,Franklin,Franklin County,230.0,True,0.013422818791946308,0,2,0,0,15,0,0,132
12065,Jefferson,Jefferson County,230.0,True,0.0,0,0,73,0,11,0,0,36
13185,Lowndes,Lowndes County,230.0,True,0.024615384615384615,0,8,194,0,77,0,0,46
13127,Glynn,Glynn County,500.0,True,0.26625386996904027,0,86,102,0,85,0,50,0
13051,Chatham,Chatham County,500.0,True,0.20238095238095238,0,85,223,0,93,0,19,0
13179,Liberty,Liberty County,500.0,True,0.33986928104575165,0,52,57,0,16,0,28,0
13073,Columbia,Columbia County,230.0,True,0.3033175355450237,0,64,116,0,31,0,0,0
13137,Habersham,Habersham County,115.0,True,0.41379310344827586,0,60,85,0,0,0,0,0
16041,Franklin,Franklin County,345.0,True,0.0,0,0,0,69,176,89,0,68
16033,Clark,Clark County,230.0,True,0.05517241379310345,0,8,60,0,67,0,0,10
16079,Shoshone,Shoshone County,500.0,True,0.0,0,0,23,0,57,0,143,89
17031,Cook,Cook County,345.0,True,0.06811797752808989,0,97,0,798,0,529,0,0
16073,Owyhee,Owyhee County,500.0,True,0.2708333333333333,0,52,61,25,5,0,49,0
16035,Clearwater,Clearwater County,500.0,True,0.0,0,0,10,25,0,0,31,52
18123,Perry,Perry County,765.0,True,0.0,12,0,0,46,0,0,0,49
18075,Jay,Jay County,138.0,True,0.5327102803738317,0,57,0,50,0,0,0,0
19045,Clinton,Clinton County,345.0,True,0.15315315315315314,0,34,19,85,0,33,0,51
04009,Graham,Graham County,345.0,True,0.12396694214876033,0,45,0,0,131,116,0,71
19195,Worth,Worth County,161.0,True,0.1926605504587156,0,21,0,56,0,0,0,32
20199,Wallace,Wallace County,115.0,True,0.0,0,0,62,0,0,0,0,3
01117,Shelby,Shelby County,230.0,True,0.2838283828382838,0,172,209,0,225,0,0,0
01055,Etowah,Etowah County,230.0,True,0.21810699588477367,0,53,146,0,44,0,0,0
01051,Elmore,Elmore County,230.0,True,0.12853470437017994,0,50,323,0,16,0,0,0
01099,Monroe,Monroe County,230.0,True,0.4152823920265781,0,125,116,0,60,0,0,0
