fips,region_id,county_name,adequacy_ratio,deficit_severity,contention_ratio,concentration,net_summer_gen_mw,inbound_thermal_sum,import_proxy_raw,import_proxy,peak_base,existing_load_adj,peak_adj,deliverable,queue_mw_active,contention,operating_dc_load_mw,import_cap_binding,frac_lines_lookup,frac_plants_county_fallback,frac_thermal_status_unknown,n_boundary_lines,n_op_plants,n_operating_dc
51001,7b09817e-362d-46c9-bcb4-244c2da80caa,Accomack,2.9194094231382968,2.9194094231382968,0.0319317666771479,0.0,403.71,300,150.0,59.032123686066136,118.06424737213227,0.0,118.06424737213227,344.67787631393384,29.0,3.77,0.0,True,1.0,0.0,0.0,4,14,0
51003,fc30d2c6-4ddf-4149-b775-737d9c44aa26,Albemarle,0.0,-0.46194805042172526,0.0633184440982492,0.0,12.5,6350,3175.0,164.24914016937393,328.49828033874786,0.0,328.49828033874786,0.0,160.0,20.8,0.0,True,1.0,0.0,0.003937007874015748,21,1,0
51005,c15c009c-37f1-4579-b288-6e63e7eb0fa5,Alleghany,0.0,-0.24171573525054346,0.0,0.0,48.0,2150,1075.0,92.9208754675037,185.8417509350074,0.0,185.8417509350074,0.0,0.0,0.0,0.0,True,1.0,0.0,0.06976744186046512,11,4,0
51007,d04d603b-f0ed-4b6f-a3fa-75a5dae74d72,Amelia,0.1289202538180617,0.1289202538180617,0.3551852908857742,0.0,24.4,170,85.0,19.398325822607866,38.79665164521573,0.0,38.79665164521573,5.0016741773921325,106.0,13.780000000000001,0.0,True,1.0,0.0,0.29411764705882354,3,50,0
51009,b2b4eaa6-ff6f-4286-80c7-0c7a768f2819,Amherst,0.0,-0.35569748564015025,0.2490734155421272,0.0,11.9,1835,917.5,41.23282277093509,82.46564554187017,0.0,82.46564554187017,0.0,158.0,20.54,0.0,True,1.0,0.0,0.0653950953678474,21,8,0
51011,ec8649aa-7c72-4c57-8164-05ed70a926d6,Appomattox,0.0,-0.17366383702458596,0.0,0.0,15.7,290,145.0,24.054949743928354,48.10989948785671,0.0,48.10989948785671,0.0,0.0,0.0,0.0,True,1.0,0.0,0.08620689655172414,4,1,0
51013,6f94ef98-79ba-4019-81ed-9ba4ced946a3,Arlington,0.0,-0.5,0.0038472787575803305,0.0,0.0,2400,1200.0,337.90117168884564,675.8023433776913,0.0,675.8023433776913,0.0,20.0,2.6,0.0,True,1.0,0.0,0.0,6,0,0
51015,1bc0cb7e-ef5a-453f-b242-e91cb36c68a7,Augusta,0.0,-0.46511683298433637,0.2640523275362892,0.0,7.9,9385,4692.5,113.23513138088431,226.47026276176862,0.0,226.47026276176862,0.0,460.0,59.800000000000004,0.0,True,1.0,0.0,0.0,19,2,0
51017,46d75ee2-b067-453b-a3fa-9d175a2c60cb,Bath,258.4255669644972,258.4255669644972,0.0,0.0,3020.1,3025,1512.5,5.831984912509825,11.66396982501965,0.0,11.66396982501965,3014.2680150874903,0.0,0.0,0.0,True,1.0,0.0,0.0,3,7,0
51019,fa825751-e23c-4a99-b014-f27c8e6b0fca,Bedford,2.191942852647271,2.191942852647271,0.043656757839838474,0.0,601.2,5040,2520.0,111.66656071631995,223.3331214326399,0.0,223.3331214326399,489.5334392836801,75.0,9.75,0.0,True,1.0,0.0,0.00496031746031746,22,15,0
51021,e3c753b5-946a-409f-a916-6b0de0549c27,Bland,0.0,-0.5,0.0,0.0,0.0,2950,1475.0,8.102151486543212,16.204302973086424,0.0,16.204302973086424,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,6,0,0
51023,c3ccae42-f290-49b7-a27f-ae1226aaf43b,Botetourt,0.0,-0.5,0.3668923212444771,0.0,0.0,8750,4375.0,47.8696309054039,95.7392618108078,0.0,95.7392618108078,0.0,270.2,35.126,0.0,True,1.0,0.0,0.002857142857142857,16,0,0
